mcc_code.code_mcc,mcc_code.industry,mcc_code.date_pr
7033,Travel & Transport ,20230831
7519,Travel & Transport ,20230831
2977,Unknown,20230831
4729,Unknown,20230831
5146,Unknown,20230831
5148,Unknown,20230831
5496,Unknown,20230831
5933,Unknown,20230831
7000,Unknown,20230831
7361,Unknown,20230831
8023,Unknown,20230831
